"REG","Région","DEP","CODARR","CODCAN","CODCOM","COM","Commune","PMUN","PCAP","PTOT"
76,"Occitanie","66",2,3,37,"66037","Canet-en-Roussillon",12598,264,12862
76,"Occitanie","66",2,4,141,"66141","Pia",10733,97,10830
76,"Occitanie","66",1,3,171,"66171","Saint-Cyprien",11398,145,11543
76,"Occitanie","66",2,14,172,"66172","Saint-Estève",11550,157,11707
76,"Occitanie","66",2,4,180,"66180","Saint-Laurent-de-la-Salanque",10010,125,10135
44,"Grand Est","67",8,15,43,"67043","Bischheim",17939,223,18162
44,"Grand Est","67",2,1,46,"67046","Bischwiller",12435,135,12570
44,"Grand Est","67",2,3,67,"67067","Brumath",10238,104,10342
44,"Grand Est","67",5,4,130,"67130","Erstein",10887,114,11001
44,"Grand Est","67",8,6,204,"67204","Hœnheim",11469,83,11552
44,"Grand Est","67",5,12,348,"67348","Obernai",12216,467,12683
44,"Grand Est","67",8,7,365,"67365","Ostwald",13310,146,13456
44,"Grand Est","67",4,14,437,"67437","Saverne",11390,272,11662
44,"Grand Est","67",5,16,462,"67462","Sélestat",19300,251,19551
44,"Grand Est","68",6,3,63,"68063","Cernay",11745,207,11952
44,"Grand Est","68",6,7,112,"68112","Guebwiller",11137,290,11427
44,"Grand Est","68",4,12,154,"68154","Illzach",14829,221,15050
44,"Grand Est","68",4,8,166,"68166","Kingersheim",13178,179,13357
44,"Grand Est","68",4,8,256,"68256","Pfastatt",10237,133,10370
44,"Grand Est","68",4,13,271,"68271","Riedisheim",12163,283,12446
44,"Grand Est","68",4,13,278,"68278","Rixheim",13795,222,14017
44,"Grand Est","68",4,17,375,"68375","Wittelsheim",10334,131,10465
44,"Grand Est","68",4,17,376,"68376","Wittenheim",15262,134,15396
84,"Auvergne-Rhône-Alpes","69",2,3,19,"69019","Belleville-en-Beaujolais",13542,277,13819
84,"Auvergne-Rhône-Alpes","69",1,5,27,"69027","Brignais",12388,194,12582
84,"Auvergne-Rhône-Alpes","69",1,0,69,"69069","Craponne",11903,205,12108
84,"Auvergne-Rhône-Alpes","69",1,0,81,"69081","Écully",18361,326,18687
84,"Auvergne-Rhône-Alpes","69",1,0,89,"69089","Francheville",15204,210,15414
84,"Auvergne-Rhône-Alpes","69",1,0,152,"69152","Pierre-Bénite",10515,49,10564
84,"Auvergne-Rhône-Alpes","69",1,0,199,"69199","Saint-Fons",19360,55,19415
84,"Auvergne-Rhône-Alpes","69",2,10,243,"69243","Tarare",10428,249,10677
84,"Auvergne-Rhône-Alpes","69",1,0,271,"69271","Chassieu",11092,152,11244
84,"Auvergne-Rhône-Alpes","69",1,0,273,"69273","Corbas",10932,79,11011
84,"Auvergne-Rhône-Alpes","69",1,6,277,"69277","Genas",13483,261,13744
84,"Auvergne-Rhône-Alpes","69",1,0,283,"69283","Mions",13707,150,13857
27,"Bourgogne-Franche-Comté","70",1,97,285,"70285","Héricourt",10478,297,10775
27,"Bourgogne-Franche-Comté","70",2,99,550,"70550","Vesoul",15130,762,15892
27,"Bourgogne-Franche-Comté","71",1,96,14,"71014","Autun",13145,991,14136
27,"Bourgogne-Franche-Comté","71",1,23,306,"71306","Montceau-les-Mines",16831,262,17093
52,"Pays de la Loire","72",3,16,3,"72003","Allonnes",11013,113,11126
52,"Pays de la Loire","72",1,6,154,"72154","La Flèche",14937,1070,16007
52,"Pays de la Loire","72",1,17,264,"72264","Sablé-sur-Sarthe",12096,468,12564
84,"Auvergne-Rhône-Alpes","73",2,12,179,"73179","La Motte-Servolex",12299,642,12941
84,"Auvergne-Rhône-Alpes","74",2,5,42,"74042","Bonneville",12895,431,13326
84,"Auvergne-Rhône-Alpes","74",2,6,81,"74081","Cluses",17164,361,17525
84,"Auvergne-Rhône-Alpes","74",3,9,133,"74133","Gaillard",10175,110,10285
84,"Auvergne-Rhône-Alpes","74",2,10,208,"74208","Passy",11068,420,11488
84,"Auvergne-Rhône-Alpes","74",2,11,224,"74224","La Roche-sur-Foron",11263,376,11639
84,"Auvergne-Rhône-Alpes","74",1,12,225,"74225","Rumilly",15998,462,16460
84,"Auvergne-Rhône-Alpes","74",3,13,243,"74243","Saint-Julien-en-Genevois",15840,211,16051
84,"Auvergne-Rhône-Alpes","74",2,14,256,"74256","Sallanches",17133,467,17600
84,"Auvergne-Rhône-Alpes","74",3,9,298,"74298","Vétraz-Monthoux",9874,207,10081
11,"Île-de-France","75",1,NA,101,"75101","Paris 1er Arrondissement",15919,111,16030
28,"Normandie","76",3,1,57,"76057","Barentin",12154,238,12392
28,"Normandie","76",3,2,108,"76108","Bois-Guillaume",14262,361,14623
28,"Normandie","76",2,3,114,"76114","Bolbec",11635,147,11782
28,"Normandie","76",3,4,157,"76157","Canteleu",13966,360,14326
28,"Normandie","76",3,5,165,"76165","Caudebec-lès-Elbeuf",10135,69,10204
28,"Normandie","76",3,22,216,"76216","Déville-lès-Rouen",10745,62,10807
28,"Normandie","76",3,9,231,"76231","Elbeuf",15951,138,16089
28,"Normandie","76",2,11,259,"76259","Fécamp",18016,269,18285
28,"Normandie","76",3,4,410,"76410","Maromme",11024,122,11146
28,"Normandie","76",2,15,447,"76447","Montivilliers",15457,203,15660
28,"Normandie","76",2,25,476,"76476","Port-Jérôme-sur-Seine",10387,172,10559
28,"Normandie","76",3,31,484,"76484","Oissel",12367,83,12450
28,"Normandie","76",3,35,758,"76758","Yvetot",11385,208,11593
11,"Île-de-France","77",4,7,14,"77014","Avon",13660,234,13894
11,"Île-de-France","77",5,4,53,"77053","Brie-Comte-Robert",19213,265,19478
11,"Île-de-France","77",2,20,67,"77067","Cesson",11140,110,11250
11,"Île-de-France","77",1,3,118,"77118","Claye-Souilly",12282,90,12372
11,"Île-de-France","77",1,5,131,"77131","Coulommiers",15250,205,15455
11,"Île-de-France","77",1,12,153,"77153","Dammartin-en-Goële",11272,91,11363
11,"Île-de-France","77",4,7,186,"77186","Fontainebleau",15945,495,16440
11,"Île-de-France","77",2,4,251,"77251","Lieusaint",13808,81,13889
11,"Île-de-France","77",5,1,258,"77258","Lognes",14650,48,14698
11,"Île-de-France","77",2,4,296,"77296","Moissy-Cramayel",18248,142,18390
11,"Île-de-France","77",5,9,307,"77307","Montévrain",13934,90,14024
11,"Île-de-France","77",4,13,316,"77316","Moret-Loing-et-Orvanne",12581,317,12898
11,"Île-de-France","77",4,15,333,"77333","Nemours",13189,149,13338
11,"Île-de-France","77",5,1,337,"77337","Noisiel",15461,97,15558
11,"Île-de-France","77",3,18,379,"77379","Provins",11958,310,12268
11,"Île-de-France","77",2,19,407,"77407","Saint-Fargeau-Ponthierry",14516,105,14621
11,"Île-de-France","77",5,9,464,"77464","Thorigny-sur-Marne",10405,105,10510
11,"Île-de-France","77",5,23,479,"77479","Vaires-sur-Marne",13518,118,13636
11,"Île-de-France","77",2,11,487,"77487","Vaux-le-Pénil",11174,152,11326
11,"Île-de-France","78",3,5,15,"78015","Andrésy",13230,142,13372
11,"Île-de-France","78",1,1,29,"78029","Aubergenville",12317,81,12398
11,"Île-de-France","78",4,15,73,"78073","Bois-d'Arcy",15435,147,15582
11,"Île-de-France","78",3,13,123,"78123","Carrières-sous-Poissy",18316,115,18431
11,"Île-de-France","78",3,6,124,"78124","Carrières-sur-Seine",15038,218,15256
11,"Île-de-France","78",3,5,138,"78138","Chanteloup-les-Vignes",10735,67,10802
11,"Île-de-France","78",4,12,165,"78165","Les Clayes-sous-Bois",17237,221,17458
11,"Île-de-France","78",3,3,190,"78190","Croissy-sur-Seine",10399,264,10663
11,"Île-de-France","78",4,15,242,"78242","Fontenay-le-Fleury",13455,164,13619
11,"Île-de-France","78",1,7,335,"78335","Limay",17626,92,17718
11,"Île-de-France","78",3,3,372,"78372","Marly-le-Roi",16531,479,17010
11,"Île-de-France","78",2,9,383,"78383","Maurepas",18611,200,18811
11,"Île-de-France","78",3,6,418,"78418","Montesson",14511,229,14740
11,"Île-de-France","78",3,16,481,"78481","Le Pecq",15832,289,16121
11,"Île-de-France","78",3,19,624,"78624","Triel-sur-Seine",12388,185,12573
11,"Île-de-France","78",3,19,642,"78642","Verneuil-sur-Seine",15914,319,16233
11,"Île-de-France","78",3,19,643,"78643","Vernouillet",10025,189,10214
11,"Île-de-France","78",3,3,650,"78650","Le Vésinet",15646,471,16117
11,"Île-de-France","78",4,15,674,"78674","Villepreux",11150,166,11316
11,"Île-de-France","78",4,21,686,"78686","Viroflay",16960,362,17322
11,"Île-de-France","78",2,9,688,"78688","Voisins-le-Bretonneux",10721,380,11101
75,"Nouvelle-Aquitaine","79",3,13,202,"79202","Parthenay",10058,377,10435
75,"Nouvelle-Aquitaine","79",1,16,329,"79329","Thouars",14000,292,14292
76,"Occitanie","81",1,97,60,"81060","Carmaux",9898,162,10060
76,"Occitanie","81",1,11,99,"81099","Gaillac",15663,345,16008
76,"Occitanie","81",2,12,105,"81105","Graulhet",13166,222,13388
76,"Occitanie","81",2,15,140,"81140","Lavaur",10830,384,11214
76,"Occitanie","81",2,99,163,"81163","Mazamet",10064,407,10471
76,"Occitanie","82",1,3,33,"82033","Castelsarrasin",14178,256,14434
76,"Occitanie","82",1,5,112,"82112","Moissac",13748,307,14055
93,"Provence-Alpes-Côte d'Azur","83",2,12,16,"83016","Le Beausset",10007,181,10188
93,"Provence-Alpes-Côte d'Azur","83",3,1,23,"83023","Brignoles",17664,329,17993
93,"Provence-Alpes-Côte d'Azur","83",1,15,42,"83042","Cogolin",11762,191,11953
93,"Provence-Alpes-Côte d'Azur","83",2,2,47,"83047","La Crau",19179,411,19590
93,"Provence-Alpes-Côte d'Azur","83",2,18,49,"83049","Cuers",12550,138,12688
93,"Provence-Alpes-Côte d'Azur","83",2,2,71,"83071","La Londe-les-Maures",11442,135,11577
93,"Provence-Alpes-Côte d'Azur","83",3,9,73,"83073","Le Luc",11053,109,11162
93,"Provence-Alpes-Côte d'Azur","83",2,10,90,"83090","Ollioules",14011,267,14278
93,"Provence-Alpes-Côte d'Azur","83",2,6,98,"83098","Le Pradet",10728,179,10907
93,"Provence-Alpes-Côte d'Azur","83",1,11,107,"83107","Roquebrune-sur-Argens",14448,224,14672
93,"Provence-Alpes-Côte d'Azur","83",2,12,112,"83112","Saint-Cyr-sur-Mer",12103,241,12344
93,"Provence-Alpes-Côte d'Azur","83",1,15,115,"83115","Sainte-Maxime",14433,182,14615
93,"Provence-Alpes-Côte d'Azur","83",3,13,116,"83116","Saint-Maximin-la-Sainte-Baume",17631,514,18145
93,"Provence-Alpes-Côte d'Azur","83",2,10,123,"83123","Sanary-sur-Mer",17268,258,17526
93,"Provence-Alpes-Côte d'Azur","83",2,18,130,"83130","Solliès-Pont",12080,148,12228
93,"Provence-Alpes-Côte d'Azur","83",1,23,148,"83148","Vidauban",12573,147,12720
93,"Provence-Alpes-Côte d'Azur","84",1,1,3,"84003","Apt",10536,238,10774
93,"Provence-Alpes-Côte d'Azur","84",3,5,19,"84019","Bollène",13605,196,13801
93,"Provence-Alpes-Côte d'Azur","84",3,10,80,"84080","Monteux",13129,248,13377
93,"Provence-Alpes-Côte d'Azur","84",3,12,88,"84088","Pernes-les-Fontaines",10636,255,10891
93,"Provence-Alpes-Côte d'Azur","84",2,14,92,"84092","Le Pontet",17551,136,17687
93,"Provence-Alpes-Côte d'Azur","84",2,15,129,"84129","Sorgues",19117,229,19346
93,"Provence-Alpes-Côte d'Azur","84",2,14,141,"84141","Vedène",11457,353,11810
52,"Pays de la Loire","85",2,1,3,"85003","Aizenay",10146,204,10350
52,"Pays de la Loire","85",1,5,92,"85092","Fontenay-le-Comte",13471,652,14123
52,"Pays de la Loire","85",2,6,109,"85109","Les Herbiers",16453,542,16995
52,"Pays de la Loire","85",3,15,226,"85226","Saint-Hilaire-de-Riez",12682,255,12937
75,"Nouvelle-Aquitaine","86",3,14,41,"86041","Buxerolles",10105,130,10235
75,"Nouvelle-Aquitaine","87",2,17,114,"87114","Panazol",11064,200,11264
75,"Nouvelle-Aquitaine","87",3,19,154,"87154","Saint-Junien",11387,304,11691
44,"Grand Est","88",3,99,413,"88413","Saint-Dié-des-Vosges",19319,454,19773
11,"Île-de-France","91",3,1,21,"91021","Arpajon",11281,101,11382
11,"Île-de-France","91",2,15,86,"91086","Bondoufle",10862,107,10969
11,"Île-de-France","91",1,5,200,"91200","Dourdan",11279,192,11471
11,"Île-de-France","91",2,7,215,"91215","Épinay-sous-Sénart",11869,80,11949
11,"Île-de-France","91",3,11,216,"91216","Épinay-sur-Orge",10760,110,10870
11,"Île-de-France","91",2,15,235,"91235","Fleury-Mérogis",13983,14,13997
11,"Île-de-France","91",3,14,312,"91312","Igny",10213,305,10518
11,"Île-de-France","91",3,2,326,"91326","Juvisy-sur-Orge",18424,109,18533
11,"Île-de-France","91",2,13,386,"91386","Mennecy",15711,251,15962
11,"Île-de-France","91",3,17,432,"91432","Morangis",13211,78,13289
11,"Île-de-France","91",3,14,471,"91471","Orsay",16007,345,16352
11,"Île-de-France","91",3,1,552,"91552","Saint-Germain-lès-Arpajon",11305,84,11389
11,"Île-de-France","91",2,7,573,"91573","Saint-Pierre-du-Perray",11680,112,11792
11,"Île-de-France","91",3,10,645,"91645","Verrières-le-Buisson",14597,289,14886
11,"Île-de-France","91",3,18,661,"91661","Villebon-sur-Yvette",10322,172,10494
11,"Île-de-France","92",2,23,33,"92033","Garches",17898,413,18311
11,"Île-de-France","92",3,23,77,"92077","Ville-d'Avray",10694,260,10954
11,"Île-de-France","93",2,7,13,"93013","Le Bourget",14832,38,14870
11,"Île-de-France","93",2,7,30,"93030","Dugny",11328,40,11368
11,"Île-de-France","93",1,15,61,"93061","Le Pré-Saint-Gervais",16865,48,16913
11,"Île-de-France","93",2,21,62,"93062","Le Raincy",14877,189,15066
11,"Île-de-France","93",3,9,79,"93079","Villetaneuse",12663,89,12752
11,"Île-de-France","94",1,16,4,"94004","Boissy-Saint-Léger",17570,37,17607
11,"Île-de-France","94",1,18,11,"94011","Bonneuil-sur-Marne",18750,64,18814
11,"Île-de-France","94",2,22,15,"94015","Bry-sur-Marne",17400,320,17720
11,"Île-de-France","94",1,4,19,"94019","Chennevières-sur-Marne",18367,101,18468
11,"Île-de-France","94",3,12,37,"94037","Gentilly",19048,112,19160
11,"Île-de-France","94",1,18,55,"94055","Ormesson-sur-Marne",10540,85,10625
11,"Île-de-France","94",1,16,60,"94060","La Queue-en-Brie",12081,115,12196
11,"Île-de-France","94",2,5,69,"94069","Saint-Maurice",14603,100,14703
11,"Île-de-France","94",3,21,74,"94074","Valenton",14482,48,14530
11,"Île-de-France","94",1,16,75,"94075","Villecresnes",11642,76,11718
11,"Île-de-France","95",2,11,19,"95019","Arnouville",14585,73,14658
11,"Île-de-France","95",2,7,199,"95199","Domont",16078,166,16244
11,"Île-de-France","95",2,15,210,"95210","Enghien-les-Bains",11440,144,11584
11,"Île-de-France","95",3,5,218,"95218","Éragny",18468,129,18597
11,"Île-de-France","95",3,14,313,"95313","L'Isle-Adam",11846,183,12029
11,"Île-de-France","95",3,5,323,"95323","Jouy-le-Moutier",17175,126,17301
11,"Île-de-France","95",2,12,351,"95351","Louvres",12083,80,12163
11,"Île-de-France","95",3,17,394,"95394","Méry-sur-Oise",10046,71,10117
11,"Île-de-France","95",2,6,427,"95427","Montmagny",14775,56,14831
11,"Île-de-France","95",3,4,476,"95476","Osny",17277,191,17468
11,"Île-de-France","95",3,14,487,"95487","Persan",13996,52,14048
11,"Île-de-France","95",1,19,488,"95488","Pierrelaye",9998,39,10037
11,"Île-de-France","95",2,6,539,"95539","Saint-Brice-sous-Forêt",15209,77,15286
11,"Île-de-France","95",1,7,563,"95563","Saint-Leu-la-Forêt",15979,152,16131
11,"Île-de-France","95",2,15,598,"95598","Soisy-sous-Montmorency",18008,160,18168
11,"Île-de-France","95",3,20,637,"95637","Vauréal",16034,177,16211
1,"Guadeloupe","971",1,7,107,"97107","Capesterre-Belle-Eau",17731,157,17888
1,"Guadeloupe","971",1,9,115,"97115","Lamentin",18527,277,18804
1,"Guadeloupe","971",2,12,116,"97116","Morne-à-l'Eau",15898,191,16089
1,"Guadeloupe","971",2,15,120,"97120","Pointe-à-Pitre",14486,90,14576
1,"Guadeloupe","971",1,6,124,"97124","Saint-Claude",10700,200,10900
1,"Guadeloupe","971",2,16,125,"97125","Saint-François",13004,146,13150
1,"Guadeloupe","971",1,99,129,"97129","Sainte-Rose",17630,248,17878
2,"Martinique","972",3,NA,207,"97207","Ducos",17912,254,18166
2,"Martinique","972",3,NA,210,"97210","Le François",15996,150,16146
2,"Martinique","972",3,NA,220,"97220","Rivière-Pilote",11712,118,11830
2,"Martinique","972",3,NA,221,"97221","Rivière-Salée",11887,221,12108
2,"Martinique","972",3,NA,223,"97223","Saint-Esprit",10270,102,10372
2,"Martinique","972",1,NA,224,"97224","Saint-Joseph",16135,208,16343
2,"Martinique","972",2,NA,228,"97228","Sainte-Marie",14650,184,14834
2,"Martinique","972",1,NA,229,"97229","Schœlcher",19341,177,19518
2,"Martinique","972",2,NA,230,"97230","La Trinité",11747,167,11914
3,"Guyane","973",1,NA,305,"97305","Macouria",18847,173,19020
3,"Guyane","973",2,NA,306,"97306","Mana",11764,122,11886
4,"La Réunion","974",2,1,401,"97401","Les Avirons",11434,227,11661
4,"La Réunion","974",3,6,402,"97402","Bras-Panon",13344,215,13559
4,"La Réunion","974",2,1,404,"97404","L'Étang-Salé",13836,194,14030
4,"La Réunion","974",2,22,405,"97405","Petite-Île",12617,155,12772
