"REG","Région","DEP","CODARR","CODCAN","CODCOM","COM","Commune","PMUN","PCAP","PTOT"
27,"Bourgogne-Franche-Comté","21",2,23,617,"21617","Talant",11894,213,12107
53,"Bretagne","22",1,4,50,"22050","Dinan",14675,556,15231
53,"Bretagne","22",4,89,93,"22093","Lamballe-Armor",16845,482,17327
53,"Bretagne","22",4,9,136,"22136","Loudéac",9762,322,10084
53,"Bretagne","22",4,18,187,"22187","Plérin",14704,485,15189
53,"Bretagne","22",4,21,215,"22215","Ploufragan",11369,332,11701
75,"Nouvelle-Aquitaine","23",2,99,96,"23096","Guéret",12840,613,13453
75,"Nouvelle-Aquitaine","24",3,7,53,"24053","Boulazac Isle Manoire",10697,347,11044
27,"Bourgogne-Franche-Comté","25",2,1,31,"25031","Audincourt",13944,235,14179
27,"Bourgogne-Franche-Comté","25",3,16,462,"25462","Pontarlier",17849,867,18716
27,"Bourgogne-Franche-Comté","25",2,19,580,"25580","Valentigney",10765,191,10956
84,"Auvergne-Rhône-Alpes","26",2,14,235,"26235","Pierrelatte",13799,257,14056
84,"Auvergne-Rhône-Alpes","26",3,17,252,"26252","Portes-lès-Valence",10422,161,10583
28,"Normandie","27",1,13,284,"27284","Gisors",11919,198,12117
28,"Normandie","27",1,14,375,"27375","Louviers",18350,374,18724
28,"Normandie","27",2,17,467,"27467","Pont-Audemer",9848,262,10110
28,"Normandie","27",1,21,701,"27701","Val-de-Reuil",12647,283,12930
24,"Centre-Val de Loire","28",2,7,88,"28088","Châteaudun",12909,315,13224
24,"Centre-Val de Loire","28",1,12,218,"28218","Lucé",15602,180,15782
24,"Centre-Val de Loire","28",1,6,229,"28229","Mainvilliers",11057,236,11293
24,"Centre-Val de Loire","28",3,8,404,"28404","Vernouillet",12455,160,12615
53,"Bretagne","29",4,10,46,"29046","Douarnenez",14163,397,14560
53,"Bretagne","29",4,11,58,"29058","Fouesnant",10098,499,10597
53,"Bretagne","29",1,12,75,"29075","Guipavas",15460,363,15823
53,"Bretagne","29",1,13,103,"29103","Landerneau",16206,613,16819
53,"Bretagne","29",3,17,151,"29151","Morlaix",14903,467,15370
53,"Bretagne","29",1,12,189,"29189","Plougastel-Daoulas",13445,362,13807
53,"Bretagne","29",1,3,212,"29212","Plouzané",13473,274,13747
53,"Bretagne","29",4,25,233,"29233","Quimperlé",12313,469,12782
53,"Bretagne","29",1,12,235,"29235","Le Relecq-Kerhuon",11791,216,12007
94,"Corse","2A",4,99,247,"2A247","Porto-Vecchio",11229,153,11382
76,"Occitanie","30",2,5,28,"30028","Bagnols-sur-Cèze",18248,351,18599
76,"Occitanie","30",2,6,32,"30032","Beaucaire",15680,156,15836
76,"Occitanie","30",2,14,202,"30202","Pont-Saint-Esprit",10600,181,10781
76,"Occitanie","30",2,19,258,"30258","Saint-Gilles",14264,127,14391
76,"Occitanie","30",2,21,341,"30341","Vauvert",11774,103,11877
76,"Occitanie","30",2,23,351,"30351","Villeneuve-lès-Avignon",12617,350,12967
76,"Occitanie","31",1,1,33,"31033","Auterive",10126,133,10259
76,"Occitanie","31",3,24,44,"31044","Balma",17385,292,17677
76,"Occitanie","31",3,4,113,"31113","Castanet-Tolosan",14903,225,15128
76,"Occitanie","31",3,5,116,"31116","Castelginest",10876,119,10995
76,"Occitanie","31",1,11,187,"31187","Fonsorbes",12546,344,12890
76,"Occitanie","31",3,25,446,"31446","Ramonville-Saint-Agne",14949,263,15212
76,"Occitanie","31",2,14,483,"31483","Saint-Gaudens",11613,558,12171
76,"Occitanie","31",3,23,488,"31488","Saint-Jean",11243,166,11409
76,"Occitanie","31",3,4,506,"31506","Saint-Orens-de-Gameville",13766,256,14022
76,"Occitanie","31",3,23,561,"31561","L'Union",12358,188,12546
76,"Occitanie","31",3,26,588,"31588","Villeneuve-Tolosane",10369,130,10499
