CODGEO;Physiologique;Sécurité;Appartenance;Estime;Actualisation de soi;Cognitif
1247;0;0;0;0;69;0
1248;54;0;4;5;0;0
1249;162;134;16;15;46;0
1250;0;0;8;0;0;0
1252;0;0;4;0;0;0
1254;0;0;4;5;23;0
1255;0;0;0;0;0;0
1257;0;0;0;0;0;0
1258;54;0;4;0;0;0
1259;0;0;0;0;0;0
1260;0;0;0;0;0;0
1261;0;0;4;0;0;0
1262;54;134;8;10;0;0
1263;0;134;8;0;0;35
1264;0;67;0;0;0;0
1265;54;0;4;10;23;0
1266;54;67;12;10;0;35
1267;0;0;0;0;0;0
1268;0;0;4;0;0;0
1269;54;67;4;10;0;0
1272;54;134;4;0;0;0
1273;0;0;8;0;0;0
1274;0;0;4;0;0;0
1275;0;0;4;0;0;0
1276;0;0;4;0;0;0
1277;0;0;0;0;0;0
1279;0;0;4;0;0;0
1280;0;0;4;0;0;0
1281;0;201;4;0;0;0
1282;0;0;0;0;0;0
1283;162;134;4;200;138;210
1284;0;0;4;0;0;0
1285;54;0;0;0;23;0
1286;0;0;4;0;0;0
1288;54;0;4;0;23;0
1289;54;201;16;5;0;35
1290;0;0;8;0;0;0
1291;0;0;0;0;0;0
1293;0;0;0;0;0;0
1294;0;0;4;0;0;0
1295;0;0;4;0;0;0
1296;0;0;0;0;0;0
1297;0;0;4;0;0;0
1298;0;0;0;0;0;0
1299;0;0;8;0;0;0
1301;54;67;4;0;0;0
1302;0;0;0;0;0;0
1303;54;67;8;5;23;0
1304;54;67;8;0;0;0
1305;54;134;8;35;0;35
1306;0;67;4;0;0;35
1307;0;0;8;0;0;0
1308;0;0;4;0;0;0
1309;0;0;0;0;0;0
1310;0;0;0;0;0;0
1311;0;0;0;0;0;0
1313;108;0;4;5;46;0
1314;0;0;4;0;23;0
1317;0;0;4;0;0;0
1318;0;0;4;0;0;0
1319;0;0;8;0;0;0
1320;54;67;8;0;23;0
1321;0;0;4;0;0;0
1322;54;67;4;0;0;0
1323;0;0;4;0;0;0
1325;0;0;4;0;0;0
1328;0;67;8;0;0;0
1329;0;0;4;0;0;0
1330;0;0;0;0;0;0
1331;0;0;4;0;0;0
1332;0;0;4;0;23;0
1333;54;67;8;5;46;35
1334;0;0;0;0;0;0
1335;0;0;8;0;0;0
1336;0;0;4;0;0;0
1337;0;0;0;0;0;35
1338;0;0;4;0;0;0
1339;0;67;4;0;0;0
1342;0;0;4;0;0;0
1343;54;0;4;0;0;0
1344;54;67;4;5;23;35
1345;0;0;8;0;0;0
1346;0;0;4;0;0;0
1347;54;0;8;0;0;0
1348;0;0;4;0;0;0
1349;0;0;0;0;0;0
1350;54;67;4;0;0;0
1351;54;0;0;0;0;0
1352;0;0;4;0;0;0
1353;0;0;4;5;0;0
1354;108;67;4;15;69;70
1355;0;0;4;0;0;0
1356;0;0;4;0;0;0
1357;0;0;4;0;0;0
1358;0;0;0;0;0;0
1359;0;0;4;0;0;0
1360;0;0;8;0;0;0
1361;0;0;0;0;0;0
1362;0;0;0;0;0;0
1363;54;67;8;0;0;0
1364;0;0;0;0;0;0
1365;0;67;0;0;0;0
1366;0;0;4;0;0;0
1367;0;67;4;0;0;0
1368;54;0;4;0;0;0
1369;54;0;4;0;0;0
1370;54;67;8;0;23;35
1371;0;0;8;0;0;0
1372;0;0;4;0;0;0
1373;0;0;4;0;0;0
1374;0;0;16;5;0;0
1375;0;0;4;0;0;0
1376;108;134;8;0;0;70
1378;0;0;4;0;0;0
1379;0;0;8;0;0;0
1380;0;0;4;0;23;0
1381;0;0;8;0;0;0
