"REG" "Région" "DEP" "CODARR" "CODCAN" "CODCOM" "COM" "Commune" "PMUN" "PCAP" "PTOT" "Physiologique" "Sécurité" "Appartenance" "Estime" "Actualisation.de.soi" "Cognitif" "latitude" "longitude"
"41" 93 "Provence-Alpes-Côte d'Azur" "13" 3 3 7 "13007" "Auriol" 12839 151 12990 108 134 8 15 23 0 43.3688436 5.6298611
"42" 93 "Provence-Alpes-Côte d'Azur" "13" 4 6 14 "13014" "Berre-l'Étang" 13912 71 13983 54 67 8 30 23 35 43.4758249 5.1673492
"43" 93 "Provence-Alpes-Côte d'Azur" "13" 1 29 15 "13015" "Bouc-Bel-Air" 15248 253 15501 216 67 0 30 69 105 43.4511819 5.4127848
"44" 93 "Provence-Alpes-Côte d'Azur" "13" 1 29 19 "13019" "Cabriès" 10070 329 10399 216 67 8 365 345 175 43.4411965 5.3798882
"45" 93 "Provence-Alpes-Côte d'Azur" "13" 4 11 26 "13026" "Châteauneuf-les-Martigues" 17909 77 17986 108 134 8 25 92 105 43.3804293 5.1646417
"46" 93 "Provence-Alpes-Côte d'Azur" "13" 2 7 27 "13027" "Châteaurenard" 16669 256 16925 54 201 4 80 23 175 43.8820448 4.85568
"47" 93 "Provence-Alpes-Côte d'Azur" "13" 4 10 39 "13039" "Fos-sur-Mer" 15469 189 15658 162 67 20 0 207 140 43.4380714 4.945595
"48" 93 "Provence-Alpes-Côte d'Azur" "13" 1 28 40 "13040" "Fuveau" 10115 200 10315 108 0 4 15 115 70 43.4539098 5.5608088
"49" 93 "Provence-Alpes-Côte d'Azur" "13" 4 11 43 "13043" "Gignac-la-Nerthe" 10083 96 10179 54 0 4 5 46 35 43.3887665 5.2329106
"50" 93 "Provence-Alpes-Côte d'Azur" "13" 1 25 69 "13069" "Pélissanne" 10554 243 10797 54 67 4 10 0 35 43.6306683 5.1496735
"51" 93 "Provence-Alpes-Côte d'Azur" "13" 3 3 75 "13075" "Plan-de-Cuques" 11396 87 11483 108 335 0 70 23 70 43.3460029 5.4618046
"52" 93 "Provence-Alpes-Côte d'Azur" "13" 4 24 77 "13077" "Port-de-Bouc" 16136 140 16276 216 67 4 50 69 140 43.403098 4.9806998
"53" 93 "Provence-Alpes-Côte d'Azur" "13" 4 6 81 "13081" "Rognac" 12175 112 12287 54 67 12 15 23 70 43.4872341 5.2342903
"54" 93 "Provence-Alpes-Côte d'Azur" "13" 2 27 97 "13097" "Saint-Martin-de-Crau" 13729 298 14027 162 67 4 25 69 70 43.6384838 4.8111564
"55" 93 "Provence-Alpes-Côte d'Azur" "13" 3 9 106 "13106" "Septèmes-les-Vallons" 11734 78 11812 108 67 8 5 0 105 43.3989529 5.3663965
"56" 93 "Provence-Alpes-Côte d'Azur" "13" 2 7 108 "13108" "Tarascon" 15423 139 15562 108 134 4 35 23 105 42.8458016 1.6067586
"57" 93 "Provence-Alpes-Côte d'Azur" "13" 1 28 110 "13110" "Trets" 10678 187 10865 108 201 4 25 0 70 43.4469081 5.6851425
"58" 93 "Provence-Alpes-Côte d'Azur" "13" 3 14 216 "13216" "Marseille 16e Arrondissement" 15487 90 15577 324 134 28 115 230 105 43.3625706 5.3164522
"59" 28 "Normandie" "14" 1 2 47 "14047" "Bayeux" 12775 333 13108 54 268 4 230 46 140 49.2764624 -0.7024738
"60" 28 "Normandie" "14" 2 16 341 "14341" "Ifs" 11981 236 12217 54 134 12 10 46 70 49.1380679 -0.3496385
"61" 28 "Normandie" "14" 3 17 366 "14366" "Lisieux" 19807 586 20393 162 335 8 270 184 385 49.1460831 0.2255168
"62" 28 "Normandie" "14" 2 16 437 "14437" "Mondeville" 10075 226 10301 108 134 8 300 161 70 49.1770906 -0.3200702
"63" 28 "Normandie" "14" 4 25 762 "14762" "Vire Normandie" 17135 801 17936 108 469 20 150 46 210 48.8199511 -0.8685772
"64" 75 "Nouvelle-Aquitaine" "16" 2 99 102 "16102" "Cognac" 18448 403 18851 216 335 8 195 23 175 45.6931647 -0.3250175
"65" 75 "Nouvelle-Aquitaine" "17" 2 17 306 "17306" "Royan" 19029 539 19568 108 268 12 540 299 385 45.6245332 -1.0287636
"66" 75 "Nouvelle-Aquitaine" "19" 2 16 272 "19272" "Tulle" 13992 661 14653 162 201 16 180 115 455 45.2678347 1.7706797
"67" 27 "Bourgogne-Franche-Comté" "21" 2 6 166 "21166" "Chenôve" 14445 167 14612 108 67 4 65 138 105 47.2932 5.00308
"68" 27 "Bourgogne-Franche-Comté" "21" 2 7 171 "21171" "Chevigny-Saint-Sauveur" 10944 214 11158 54 67 4 0 0 35 47.2977106 5.1382218
"69" 27 "Bourgogne-Franche-Comté" "21" 2 23 617 "21617" "Talant" 11894 213 12107 162 201 4 5 23 70 47.3359617 5.0047641
"70" 53 "Bretagne" "22" 1 4 50 "22050" "Dinan" 14675 556 15231 108 402 4 265 69 385 48.4539775 -2.047687
"71" 53 "Bretagne" "22" 4 89 93 "22093" "Lamballe-Armor" 16845 482 17327 108 201 40 125 138 175 48.4859301 -2.4724249
"72" 53 "Bretagne" "22" 4 18 187 "22187" "Plérin" 14704 485 15189 216 67 36 50 92 105 48.5348817 -2.7695752
"73" 53 "Bretagne" "22" 4 21 215 "22215" "Ploufragan" 11369 332 11701 108 67 12 20 0 35 48.4893432 -2.7933133
"74" 75 "Nouvelle-Aquitaine" "23" 2 99 96 "23096" "Guéret" 12840 613 13453 108 67 16 135 161 280 46.1689521 1.8715763
"75" 75 "Nouvelle-Aquitaine" "24" 3 7 53 "24053" "Boulazac Isle Manoire" 10697 347 11044 108 67 8 105 161 105 45.1383555 0.7720933
"76" 27 "Bourgogne-Franche-Comté" "25" 2 1 31 "25031" "Audincourt" 13944 235 14179 162 67 4 85 69 105 47.4819786 6.8413684
"77" 27 "Bourgogne-Franche-Comté" "25" 3 16 462 "25462" "Pontarlier" 17849 867 18716 162 0 12 315 207 245 46.9040348 6.3546345
"78" 27 "Bourgogne-Franche-Comté" "25" 2 19 580 "25580" "Valentigney" 10765 191 10956 54 0 4 0 0 70 47.4622925 6.8308784
"79" 84 "Auvergne-Rhône-Alpes" "26" 3 15 58 "26058" "Bourg-lès-Valence" 19581 539 20120 162 67 4 15 115 105 44.9528222 4.8953847
"80" 84 "Auvergne-Rhône-Alpes" "26" 2 14 235 "26235" "Pierrelatte" 13799 257 14056 54 134 8 60 46 140 44.3778474 4.6976609
"81" 84 "Auvergne-Rhône-Alpes" "26" 3 17 252 "26252" "Portes-lès-Valence" 10422 161 10583 54 201 12 10 23 35 44.8753434 4.8774936
"82" 28 "Normandie" "27" 1 13 284 "27284" "Gisors" 11919 198 12117 216 201 8 85 23 35 49.2789504 1.777826
"83" 28 "Normandie" "27" 1 14 375 "27375" "Louviers" 18350 374 18724 324 201 8 105 46 245 49.2157245 1.1646335
"84" 28 "Normandie" "27" 1 21 701 "27701" "Val-de-Reuil" 12647 283 12930 162 67 16 10 23 35 49.2716839 1.2128992
"85" 24 "Centre-Val de Loire" "28" 2 7 88 "28088" "Châteaudun" 12909 315 13224 108 201 16 80 92 105 48.0702298 1.3284948
"86" 24 "Centre-Val de Loire" "28" 1 12 218 "28218" "Lucé" 15602 180 15782 162 67 8 55 23 70 48.5500968 -0.595787
"87" 24 "Centre-Val de Loire" "28" 1 6 229 "28229" "Mainvilliers" 11057 236 11293 108 0 8 10 69 0 48.4489382 1.4580047
"88" 24 "Centre-Val de Loire" "28" 3 8 404 "28404" "Vernouillet" 12455 160 12615 216 134 4 30 23 70 48.7166545 1.3650922
"89" 53 "Bretagne" "29" 4 10 46 "29046" "Douarnenez" 14163 397 14560 54 268 8 80 138 210 48.0944459 -4.3311243
"90" 53 "Bretagne" "29" 4 11 58 "29058" "Fouesnant" 10098 499 10597 54 67 8 65 46 35 47.8945402 -4.0115365
"91" 53 "Bretagne" "29" 1 12 75 "29075" "Guipavas" 15460 363 15823 216 201 8 15 69 105 48.4346366 -4.400979
"92" 53 "Bretagne" "29" 1 13 103 "29103" "Landerneau" 16206 613 16819 54 67 4 105 92 105 48.4514803 -4.2557901
"93" 53 "Bretagne" "29" 3 17 151 "29151" "Morlaix" 14903 467 15370 108 134 12 175 46 315 48.5824932 -3.8331972
"94" 53 "Bretagne" "29" 1 12 189 "29189" "Plougastel-Daoulas" 13445 362 13807 108 67 4 5 92 0 48.3742317 -4.369679
"95" 53 "Bretagne" "29" 1 3 212 "29212" "Plouzané" 13473 274 13747 54 67 4 10 23 0 48.3817165 -4.6212044
"96" 53 "Bretagne" "29" 4 25 233 "29233" "Quimperlé" 12313 469 12782 108 67 16 80 0 140 47.8692882 -3.5505644
"97" 53 "Bretagne" "29" 1 12 235 "29235" "Le Relecq-Kerhuon" 11791 216 12007 108 134 4 0 46 0 48.4075514 -4.3965573
"98" 94 "Corse" "2A" 4 99 247 "2A247" "Porto-Vecchio" 11229 153 11382 162 67 0 465 483 140 41.5911382 9.2794469
"99" 76 "Occitanie" "30" 2 5 28 "30028" "Bagnols-sur-Cèze" 18248 351 18599 108 268 12 150 46 315 44.160481 4.6235831
"100" 76 "Occitanie" "30" 2 6 32 "30032" "Beaucaire" 15680 156 15836 108 134 4 40 69 105 43.8085436 4.6392648
"101" 76 "Occitanie" "30" 2 14 202 "30202" "Pont-Saint-Esprit" 10600 181 10781 54 134 4 30 46 175 44.2538589 4.6456631
"102" 76 "Occitanie" "30" 2 19 258 "30258" "Saint-Gilles" 14264 127 14391 108 67 4 20 0 105 49.2801594 3.6756348
"103" 76 "Occitanie" "30" 2 21 341 "30341" "Vauvert" 11774 103 11877 54 67 8 20 69 35 43.6924382 4.2754772
"104" 76 "Occitanie" "30" 2 23 351 "30351" "Villeneuve-lès-Avignon" 12617 350 12967 108 201 8 10 0 35 43.9636595 4.7969224
"105" 76 "Occitanie" "31" 1 1 33 "31033" "Auterive" 10126 133 10259 162 134 4 30 23 70 43.3524028 1.4775095
"106" 76 "Occitanie" "31" 3 24 44 "31044" "Balma" 17385 292 17677 378 67 12 40 92 70 43.6096587 1.4980089
"107" 76 "Occitanie" "31" 3 4 113 "31113" "Castanet-Tolosan" 14903 225 15128 108 67 4 15 0 70 43.517214 1.4980801
"108" 76 "Occitanie" "31" 3 5 116 "31116" "Castelginest" 10876 119 10995 108 67 8 25 23 35 43.6929231 1.4281537
"109" 76 "Occitanie" "31" 1 11 187 "31187" "Fonsorbes" 12546 344 12890 162 0 12 25 23 70 43.5353273 1.2314988
"110" 76 "Occitanie" "31" 3 11 424 "31424" "Plaisance-du-Touch" 19944 376 20320 162 134 4 20 92 70 43.5653012 1.2978343
"111" 76 "Occitanie" "31" 3 25 446 "31446" "Ramonville-Saint-Agne" 14949 263 15212 432 134 8 15 69 0 43.5460533 1.4749101
"112" 76 "Occitanie" "31" 2 14 483 "31483" "Saint-Gaudens" 11613 558 12171 216 201 4 115 46 105 43.1077682 0.7247218
"113" 76 "Occitanie" "31" 3 23 488 "31488" "Saint-Jean" 11243 166 11409 108 0 8 20 0 0 43.6650391 1.5039252
"114" 76 "Occitanie" "31" 3 4 506 "31506" "Saint-Orens-de-Gameville" 13766 256 14022 162 134 12 165 69 70 43.5519847 1.5339526
"115" 76 "Occitanie" "31" 3 23 561 "31561" "L'Union" 12358 188 12546 270 134 32 40 46 140 43.6501518 1.4846885
"116" 76 "Occitanie" "31" 3 26 588 "31588" "Villeneuve-Tolosane" 10369 130 10499 108 67 4 0 23 0 43.5236403 1.3410072
"117" 75 "Nouvelle-Aquitaine" "33" 2 26 3 "33003" "Ambarès-et-Lagrave" 16798 165 16963 108 134 12 20 23 35 44.9259011 -0.4881846
"118" 75 "Nouvelle-Aquitaine" "33" 6 1 5 "33005" "Andernos-les-Bains" 12472 274 12746 108 134 12 165 115 105 44.7476897 -1.0925184
"119" 75 "Nouvelle-Aquitaine" "33" 6 32 9 "33009" "Arcachon" 11259 320 11579 162 268 0 475 207 245 44.6616428 -1.1700018
"120" 75 "Nouvelle-Aquitaine" "33" 6 1 51 "33051" "Biganos" 11095 137 11232 108 134 4 120 46 70 44.642014 -0.9766226
"121" 75 "Nouvelle-Aquitaine" "33" 2 25 56 "33056" "Blanquefort" 16004 632 16636 270 134 8 20 69 35 44.9088982 -0.6300363
"122" 75 "Nouvelle-Aquitaine" "33" 2 23 122 "33122" "Cestas" 16789 281 17070 216 335 0 35 92 105 44.7411574 -0.6841225
"123" 75 "Nouvelle-Aquitaine" "33" 2 9 167 "33167" "Floirac" 17749 128 17877 162 134 8 10 23 70 44.8327 -0.520823
"124" 75 "Nouvelle-Aquitaine" "33" 2 18 200 "33200" "Le Haillan" 11572 187 11759 270 67 4 5 0 105 44.872105 -0.6761661
"125" 75 "Nouvelle-Aquitaine" "33" 2 8 238 "33238" "Léognan" 10708 156 10864 54 134 8 15 0 35 44.7294474 -0.5997267
"126" 75 "Nouvelle-Aquitaine" "33" 6 14 284 "33284" "Mios" 11469 190 11659 54 67 4 10 23 0 44.6045208 -0.9349464
"127" 75 "Nouvelle-Aquitaine" "33" 2 25 312 "33312" "Parempuyre" 10142 102 10244 54 67 4 15 46 35 44.9485379 -0.6052708
"128" 75 "Nouvelle-Aquitaine" "33" 1 20 366 "33366" "Saint-André-de-Cubzac" 12854 185 13039 54 67 8 75 92 140 44.9954151 -0.4440957
"129" 75 "Nouvelle-Aquitaine" "33" 2 26 433 "33433" "Saint-Loubès" 10005 108 10113 54 67 0 15 46 35 44.9164747 -0.4269087
"130" 75 "Nouvelle-Aquitaine" "33" 2 28 519 "33519" "Le Taillan-Médoc" 10727 155 10882 108 67 0 20 0 105 44.9044049 -0.6693402
"131" 76 "Occitanie" "34" 3 10 123 "34123" "Juvignac" 12783 107 12890 54 67 4 35 46 35 43.6140784 3.8101646
"132" 76 "Occitanie" "34" 3 10 129 "34129" "Lattes" 17544 231 17775 270 201 8 155 207 70 43.5653993 3.9017114
"133" 76 "Occitanie" "34" 3 13 154 "34154" "Mauguio" 16596 194 16790 162 67 8 75 368 210 43.6154825 4.0098366
"134" 76 "Occitanie" "34" 3 14 157 "34157" "Mèze" 12664 170 12834 162 134 8 20 23 140 43.4245985 3.5988383
"135" 76 "Occitanie" "34" 2 23 255 "34255" "Saint-Gély-du-Fesc" 10537 273 10810 54 134 4 15 115 105 43.6913873 3.803981
"136" 76 "Occitanie" "34" 3 10 270 "34270" "Saint-Jean-de-Védas" 12570 152 12722 54 67 4 125 207 35 43.5751791 3.8264197
"137" 76 "Occitanie" "34" 3 22 337 "34337" "Villeneuve-lès-Maguelone" 10405 116 10521 54 67 0 20 0 35 43.5328117 3.8627227
"138" 53 "Bretagne" "35" 3 3 24 "35024" "Betton" 12695 264 12959 108 134 0 5 23 35 48.1817122 -1.6414898
"139" 53 "Bretagne" "35" 3 4 47 "35047" "Bruz" 19651 467 20118 162 134 0 25 23 175 48.0245814 -1.7471629
"140" 53 "Bretagne" "35" 3 3 51 "35051" "Cesson-Sévigné" 17716 496 18212 378 201 0 135 92 175 48.1197799 -1.6038829
"141" 53 "Bretagne" "35" 3 20 55 "35055" "Chantepie" 10232 159 10391 54 67 0 40 184 70 48.088155 -1.6171482
"142" 53 "Bretagne" "35" 3 5 69 "35069" "Châteaugiron" 10518 262 10780 54 134 4 40 0 35 48.0423764 -1.500912
"143" 53 "Bretagne" "35" 4 26 93 "35093" "Dinard" 10219 534 10753 54 201 0 190 69 105 48.6320379 -2.0580178
"144" 53 "Bretagne" "35" 3 23 210 "35210" "Pacé" 11918 339 12257 108 134 0 95 46 70 48.4454551 -0.0039061
"145" 53 "Bretagne" "35" 3 22 281 "35281" "Saint-Jacques-de-la-Lande" 13656 126 13782 162 67 4 5 0 245 48.0806436 -1.7135029
"146" 53 "Bretagne" "35" 1 27 360 "35360" "Vitré" 18998 555 19553 162 201 0 235 92 175 48.1244503 -1.214331
"147" 24 "Centre-Val de Loire" "36" 4 9 88 "36088" "Issoudun" 10992 240 11232 108 268 4 35 23 35 46.947766 1.9882811
"148" 24 "Centre-Val de Loire" "37" 3 1 3 "37003" "Amboise" 12938 392 13330 54 201 8 80 23 245 47.4110351 0.983698
"149" 24 "Centre-Val de Loire" "37" 2 10 50 "37050" "Chambray-lès-Tours" 11589 241 11830 270 268 8 185 322 140 47.3390872 0.714368
"150" 24 "Centre-Val de Loire" "37" 2 12 109 "37109" "Fondettes" 10741 498 11239 108 134 4 0 0 70 47.4036631 0.5961846
"151" 24 "Centre-Val de Loire" "37" 2 10 156 "37156" "Montlouis-sur-Loire" 11048 165 11213 54 201 4 5 92 70 47.3881023 0.8269289
"152" 24 "Centre-Val de Loire" "37" 2 2 195 "37195" "La Riche" 10325 109 10434 108 134 0 25 23 0 47.3881295 0.6572824
"153" 24 "Centre-Val de Loire" "37" 2 14 208 "37208" "Saint-Avertin" 15000 340 15340 270 134 8 5 46 35 47.3577 0.739923
"154" 24 "Centre-Val de Loire" "37" 2 12 214 "37214" "Saint-Cyr-sur-Loire" 17004 346 17350 162 335 8 30 92 70 47.4052448 0.6658199
"155" 24 "Centre-Val de Loire" "37" 2 14 233 "37233" "Saint-Pierre-des-Corps" 15909 268 16177 162 67 8 130 23 140 47.3898152 0.7189761
"156" 84 "Auvergne-Rhône-Alpes" "38" 2 4 85 "38085" "Charvieu-Chavagneux" 10280 88 10368 54 67 4 0 0 35 45.7382897 5.1545382
