"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
53;"Bretagne";"56";1;1;7;"56007";"Auray";14222;369;14591;54;268;4;270;184;175
53;"Bretagne";"56";1;5;78;"56078";"Guidel";11947;306;12253;54;134;8;20;46;70
53;"Bretagne";"56";1;6;83;"56083";"Hennebont";15746;450;16196;54;268;0;50;138;70
53;"Bretagne";"56";1;12;162;"56162";"Ploemeur";18591;637;19228;162;335;8;45;46;35
53;"Bretagne";"56";2;15;178;"56178";"Pontivy";14774;856;15630;54;268;12;255;69;140
53;"Bretagne";"56";3;21;206;"56206";"Saint-Avé";11927;287;12214;54;268;4;5;23;0
44;"Grand Est";"57";9;18;19;"57019";"Amnéville";10828;80;10908;54;134;8;15;0;35
44;"Grand Est";"57";3;3;160;"57160";"Creutzwald";12514;190;12704;108;201;16;85;23;70
44;"Grand Est";"57";7;6;206;"57206";"Fameck";14798;167;14965;54;67;20;40;0;70
44;"Grand Est";"57";7;6;221;"57221";"Florange";11869;105;11974;54;67;16;10;0;0
44;"Grand Est";"57";3;9;240;"57240";"Freyming-Merlebach";13027;120;13147;0;268;8;45;0;0
44;"Grand Est";"57";7;10;306;"57306";"Hayange";15968;214;16182;54;134;12;55;0;35
44;"Grand Est";"57";9;24;433;"57433";"Maizières-lès-Metz";11792;98;11890;54;134;16;0;0;0
44;"Grand Est";"57";3;19;606;"57606";"Saint-Avold";15045;313;15358;54;201;24;110;46;70
44;"Grand Est";"57";5;21;630;"57630";"Sarrebourg";12359;302;12661;54;134;8;235;92;245
44;"Grand Est";"57";3;25;660;"57660";"Stiring-Wendel";11067;113;11180;54;134;12;0;0;70
44;"Grand Est";"57";9;24;751;"57751";"Woippy";14302;112;14414;54;67;4;0;46;70
44;"Grand Est";"57";7;27;757;"57757";"Yutz";17401;282;17683;162;201;20;20;46;70
32;"Hauts-de-France";"59";5;2;11;"59011";"Annœullin";10780;99;10879;108;134;0;15;0;0
32;"Hauts-de-France";"59";6;3;14;"59014";"Anzin";13422;82;13504;108;134;12;30;0;105
32;"Hauts-de-France";"59";4;8;43;"59043";"Bailleul";14869;229;15098;162;201;4;100;92;70
32;"Hauts-de-France";"59";6;3;112;"59112";"Bruay-sur-l'Escaut";11309;54;11363;54;67;8;5;23;70
32;"Hauts-de-France";"59";2;11;139;"59139";"Caudry";14070;150;14220;108;134;4;80;115;70
32;"Hauts-de-France";"59";5;22;152;"59152";"Comines";12671;80;12751;108;67;0;25;0;35
32;"Hauts-de-France";"59";6;14;179;"59179";"Douchy-les-Mines";10207;45;10252;54;67;4;10;0;35
32;"Hauts-de-France";"59";5;18;220;"59220";"Faches-Thumesnil";18110;117;18227;216;201;4;135;69;35
32;"Hauts-de-France";"59";1;19;249;"59249";"Fourmies";11456;176;11632;54;134;4;80;92;105
32;"Hauts-de-France";"59";4;20;273;"59273";"Gravelines";11223;170;11393;162;201;4;30;0;0
32;"Hauts-de-France";"59";5;18;286;"59286";"Haubourdin";14757;107;14864;108;268;4;5;0;0
32;"Hauts-de-France";"59";1;7;291;"59291";"Hautmont";14182;74;14256;108;67;4;30;46;35
32;"Hauts-de-France";"59";5;13;299;"59299";"Hem";18713;156;18869;378;134;0;30;23;35
32;"Hauts-de-France";"59";1;30;324;"59324";"Jeumont";10342;91;10433;54;134;4;20;0;70
32;"Hauts-de-France";"59";5;13;367;"59367";"Lys-lez-Lannoy";13793;136;13929;54;67;4;35;23;35
32;"Hauts-de-France";"59";6;29;383;"59383";"Marly";12024;122;12146;216;134;8;15;0;35
32;"Hauts-de-France";"59";5;23;386;"59386";"Marquette-lez-Lille";11213;64;11277;162;201;4;10;92;0
32;"Hauts-de-France";"59";5;24;421;"59421";"Mouvaux";13173;189;13362;216;201;12;60;0;0
32;"Hauts-de-France";"59";5;37;426;"59426";"Neuville-en-Ferrain";10160;68;10228;162;67;0;95;92;35
32;"Hauts-de-France";"59";6;34;491;"59491";"Raismes";12055;53;12108;108;67;16;15;46;35
32;"Hauts-de-France";"59";5;26;507;"59507";"Ronchin";19437;136;19573;216;67;8;15;46;0
32;"Hauts-de-France";"59";5;37;508;"59508";"Roncq";13784;113;13897;216;67;12;105;46;35
32;"Hauts-de-France";"59";6;34;526;"59526";"Saint-Amand-les-Eaux";15980;180;16160;270;335;8;115;69;70
32;"Hauts-de-France";"59";5;23;527;"59527";"Saint-André-lez-Lille";12942;111;13053;162;67;4;5;46;35
32;"Hauts-de-France";"59";6;39;544;"59544";"Saint-Saulve";11117;151;11268;162;268;8;15;0;35
32;"Hauts-de-France";"59";5;18;560;"59560";"Seclin";12834;94;12928;162;134;8;60;253;105
32;"Hauts-de-France";"59";3;35;569;"59569";"Sin-le-Noble";15603;102;15705;54;67;4;55;23;0
32;"Hauts-de-France";"59";3;35;574;"59574";"Somain";11790;91;11881;108;134;8;40;0;105
32;"Hauts-de-France";"59";6;29;616;"59616";"Vieux-Condé";10446;58;10504;108;134;16;10;46;35
32;"Hauts-de-France";"59";5;23;636;"59636";"Wambrechies";10798;114;10912;54;201;4;35;92;0
32;"Hauts-de-France";"59";5;18;648;"59648";"Wattignies";15531;204;15735;162;134;4;35;46;35
32;"Hauts-de-France";"60";4;3;141;"60141";"Chantilly";10652;237;10889;216;268;8;120;23;105
32;"Hauts-de-France";"60";2;5;157;"60157";"Clermont";10475;217;10692;54;134;12;15;0;70
32;"Hauts-de-France";"60";4;9;176;"60176";"Crépy-en-Valois";14217;277;14494;162;335;8;60;69;70
32;"Hauts-de-France";"60";1;12;395;"60395";"Méru";14320;190;14510;108;201;0;25;0;35
32;"Hauts-de-France";"60";4;13;414;"60414";"Montataire";13701;144;13845;162;67;8;10;0;0
32;"Hauts-de-France";"60";3;17;471;"60471";"Noyon";12987;228;13215;108;201;4;55;69;175
32;"Hauts-de-France";"60";4;18;509;"60509";"Pont-Sainte-Maxence";12291;130;12421;270;134;4;40;23;70
32;"Hauts-de-France";"60";4;20;612;"60612";"Senlis";15255;550;15805;324;201;16;105;23;140
28;"Normandie";"61";2;98;6;"61006";"Argentan";13291;368;13659;216;268;12;115;23;280
28;"Normandie";"61";2;99;169;"61169";"Flers";14482;339;14821;216;268;4;180;115;245
32;"Hauts-de-France";"62";2;5;48;"62048";"Auchel";10062;43;10105;54;134;8;35;0;0
32;"Hauts-de-France";"62";7;8;65;"62065";"Avion";17672;135;17807;54;134;32;20;0;35
32;"Hauts-de-France";"62";4;10;108;"62108";"Berck";13298;337;13635;270;201;8;205;69;140
32;"Hauts-de-France";"62";7;17;186;"62186";"Bully-les-Mines";12221;75;12296;54;201;8;25;0;0
32;"Hauts-de-France";"62";7;21;215;"62215";"Carvin";17852;96;17948;54;67;12;50;23;35
32;"Hauts-de-France";"62";7;21;250;"62250";"Courrières";10199;100;10299;54;134;0;35;46;35
32;"Hauts-de-France";"62";4;24;318;"62318";"Étaples";10930;127;11057;108;134;4;75;138;35
32;"Hauts-de-France";"62";7;26;413;"62413";"Harnes";12317;88;12405;0;134;12;10;0;35
32;"Hauts-de-France";"62";5;32;525;"62525";"Longuenesse";10568;467;11035;108;67;12;115;46;35
32;"Hauts-de-France";"62";6;34;548;"62548";"Marck";10494;133;10627;108;134;8;20;23;35
32;"Hauts-de-France";"62";7;8;570;"62570";"Méricourt";11431;49;11480;54;134;20;0;0;35
32;"Hauts-de-France";"62";2;35;617;"62617";"Nœux-les-Mines";11520;48;11568;54;201;32;65;0;0
32;"Hauts-de-France";"62";7;27;637;"62637";"Oignies";10210;45;10255;54;134;8;35;0;70
32;"Hauts-de-France";"62";3;36;643;"62643";"Outreau";13270;145;13415;54;134;4;35;23;35
32;"Hauts-de-France";"62";3;14;758;"62758";"Saint-Martin-Boulogne";10999;154;11153;108;134;4;95;69;70
32;"Hauts-de-France";"62";5;37;765;"62765";"Saint-Omer";14661;602;15263;54;469;4;210;23;175
84;"Auvergne-Rhône-Alpes";"63";2;3;14;"63014";"Aubière";10211;156;10367;162;67;8;150;207;105
84;"Auvergne-Rhône-Alpes";"63";2;4;32;"63032";"Beaumont";10650;197;10847;162;134;4;5;23;70
84;"Auvergne-Rhône-Alpes";"63";2;8;75;"63075";"Chamalières";17454;523;17977;486;201;8;30;0;105
84;"Auvergne-Rhône-Alpes";"63";2;17;164;"63164";"Gerzat";10258;97;10355;54;67;8;5;23;70
84;"Auvergne-Rhône-Alpes";"63";3;18;178;"63178";"Issoire";15014;375;15389;108;201;12;140;92;175
84;"Auvergne-Rhône-Alpes";"63";2;24;284;"63284";"Pont-du-Château";12459;327;12786;54;134;4;20;0;0
84;"Auvergne-Rhône-Alpes";"63";4;25;300;"63300";"Riom";18736;759;19495;108;134;4;110;92;210
84;"Auvergne-Rhône-Alpes";"63";5;30;430;"63430";"Thiers";11633;364;11997;54;67;4;90;92;105
75;"Nouvelle-Aquitaine";"64";3;8;129;"64129";"Billère";13866;214;14080;162;268;12;15;92;0
75;"Nouvelle-Aquitaine";"64";1;10;260;"64260";"Hendaye";17796;458;18254;162;67;12;50;207;280
75;"Nouvelle-Aquitaine";"64";3;11;348;"64348";"Lons";13915;273;14188;108;67;28;25;253;70
75;"Nouvelle-Aquitaine";"64";2;98;422;"64422";"Oloron-Sainte-Marie";10616;657;11273;162;335;16;115;46;210
75;"Nouvelle-Aquitaine";"64";3;16;430;"64430";"Orthez";10684;638;11322;54;134;24;95;138;105
75;"Nouvelle-Aquitaine";"64";1;24;483;"64483";"Saint-Jean-de-Luz";14601;406;15007;108;134;8;465;46;350
75;"Nouvelle-Aquitaine";"64";1;10;545;"64545";"Urrugne";10543;161;10704;162;67;0;30;46;105
76;"Occitanie";"65";1;98;286;"65286";"Lourdes";13509;295;13804;162;335;8;130;69;315
76;"Occitanie";"66";1;5;8;"66008";"Argelès-sur-Mer";10792;296;11088;54;67;8;230;207;245
76;"Occitanie";"66";2;8;28;"66028";"Cabestany";10338;216;10554;108;67;8;45;138;70
76;"Occitanie";"66";2;3;37;"66037";"Canet-en-Roussillon";12598;264;12862;108;67;16;130;184;245
76;"Occitanie";"66";2;4;141;"66141";"Pia";10733;97;10830;54;67;4;5;46;0
76;"Occitanie";"66";1;3;171;"66171";"Saint-Cyprien";11398;145;11543;54;201;20;105;138;105
76;"Occitanie";"66";2;14;172;"66172";"Saint-Estève";11550;157;11707;54;67;8;15;23;35
76;"Occitanie";"66";2;4;180;"66180";"Saint-Laurent-de-la-Salanque";10010;125;10135;54;67;8;10;23;35
44;"Grand Est";"67";8;15;43;"67043";"Bischheim";17939;223;18162;324;134;0;25;0;35
44;"Grand Est";"67";2;1;46;"67046";"Bischwiller";12435;135;12570;108;335;4;10;0;105
44;"Grand Est";"67";2;3;67;"67067";"Brumath";10238;104;10342;54;67;0;10;23;35
44;"Grand Est";"67";5;4;130;"67130";"Erstein";10887;114;11001;54;201;8;40;46;70
44;"Grand Est";"67";8;6;204;"67204";"Hœnheim";11469;83;11552;162;67;0;0;46;0
44;"Grand Est";"67";5;12;348;"67348";"Obernai";12216;467;12683;108;134;4;210;46;105
44;"Grand Est";"67";8;7;365;"67365";"Ostwald";13310;146;13456;162;67;8;5;69;35
44;"Grand Est";"67";4;14;437;"67437";"Saverne";11390;272;11662;162;134;4;130;23;175
44;"Grand Est";"67";5;16;462;"67462";"Sélestat";19300;251;19551;108;201;4;175;138;280
44;"Grand Est";"68";6;3;63;"68063";"Cernay";11745;207;11952;54;67;16;90;161;35
44;"Grand Est";"68";6;7;112;"68112";"Guebwiller";11137;290;11427;54;67;0;75;46;35
44;"Grand Est";"68";4;12;154;"68154";"Illzach";14829;221;15050;108;134;4;85;46;70
44;"Grand Est";"68";4;8;166;"68166";"Kingersheim";13178;179;13357;54;134;4;65;184;35
44;"Grand Est";"68";4;8;256;"68256";"Pfastatt";10237;133;10370;54;134;4;5;0;35
44;"Grand Est";"68";4;13;271;"68271";"Riedisheim";12163;283;12446;54;201;8;10;0;35
44;"Grand Est";"68";4;13;278;"68278";"Rixheim";13795;222;14017;162;134;8;15;92;35
44;"Grand Est";"68";4;17;375;"68375";"Wittelsheim";10334;131;10465;54;0;20;15;23;35
44;"Grand Est";"68";4;17;376;"68376";"Wittenheim";15262;134;15396;108;67;4;150;115;105
84;"Auvergne-Rhône-Alpes";"69";2;3;19;"69019";"Belleville-en-Beaujolais";13542;277;13819;108;67;8;65;92;210
84;"Auvergne-Rhône-Alpes";"69";1;5;27;"69027";"Brignais";12388;194;12582;162;134;12;10;69;105
84;"Auvergne-Rhône-Alpes";"69";1;0;69;"69069";"Craponne";11903;205;12108;162;67;8;80;92;140
84;"Auvergne-Rhône-Alpes";"69";1;0;81;"69081";"Écully";18361;326;18687;378;201;12;150;69;70
84;"Auvergne-Rhône-Alpes";"69";1;0;89;"69089";"Francheville";15204;210;15414;216;268;4;25;46;0
84;"Auvergne-Rhône-Alpes";"69";1;0;152;"69152";"Pierre-Bénite";10515;49;10564;378;67;0;0;23;140
84;"Auvergne-Rhône-Alpes";"69";1;0;199;"69199";"Saint-Fons";19360;55;19415;270;201;8;70;23;70
84;"Auvergne-Rhône-Alpes";"69";2;10;243;"69243";"Tarare";10428;249;10677;162;335;20;75;46;140
84;"Auvergne-Rhône-Alpes";"69";1;0;271;"69271";"Chassieu";11092;152;11244;54;67;8;15;23;35
84;"Auvergne-Rhône-Alpes";"69";1;0;273;"69273";"Corbas";10932;79;11011;108;67;4;10;0;70
84;"Auvergne-Rhône-Alpes";"69";1;6;277;"69277";"Genas";13483;261;13744;216;134;12;10;46;175
84;"Auvergne-Rhône-Alpes";"69";1;0;283;"69283";"Mions";13707;150;13857;108;67;0;10;46;70
27;"Bourgogne-Franche-Comté";"70";1;97;285;"70285";"Héricourt";10478;297;10775;54;67;8;20;23;105
27;"Bourgogne-Franche-Comté";"70";2;99;550;"70550";"Vesoul";15130;762;15892;216;201;8;215;115;315
27;"Bourgogne-Franche-Comté";"71";1;96;14;"71014";"Autun";13145;991;14136;54;469;16;120;115;175
27;"Bourgogne-Franche-Comté";"71";1;23;306;"71306";"Montceau-les-Mines";16831;262;17093;108;469;8;145;115;245
52;"Pays de la Loire";"72";3;16;3;"72003";"Allonnes";11013;113;11126;54;134;8;35;0;105
52;"Pays de la Loire";"72";1;6;154;"72154";"La Flèche";14937;1070;16007;108;335;72;85;46;105
52;"Pays de la Loire";"72";1;17;264;"72264";"Sablé-sur-Sarthe";12096;468;12564;108;268;28;50;23;70
84;"Auvergne-Rhône-Alpes";"73";1;98;11;"73011";"Albertville";19812;573;20385;216;268;4;230;138;280
84;"Auvergne-Rhône-Alpes";"73";2;12;179;"73179";"La Motte-Servolex";12299;642;12941;108;134;4;10;69;0
84;"Auvergne-Rhône-Alpes";"74";2;5;42;"74042";"Bonneville";12895;431;13326;108;67;4;35;69;70
84;"Auvergne-Rhône-Alpes";"74";2;6;81;"74081";"Cluses";17164;361;17525;162;134;4;75;115;140
84;"Auvergne-Rhône-Alpes";"74";3;9;133;"74133";"Gaillard";10175;110;10285;108;67;4;15;46;0
84;"Auvergne-Rhône-Alpes";"74";2;10;208;"74208";"Passy";11068;420;11488;216;134;4;5;161;35
84;"Auvergne-Rhône-Alpes";"74";2;11;224;"74224";"La Roche-sur-Foron";11263;376;11639;108;134;0;60;92;175
84;"Auvergne-Rhône-Alpes";"74";1;12;225;"74225";"Rumilly";15998;462;16460;162;201;4;70;46;35
84;"Auvergne-Rhône-Alpes";"74";3;13;243;"74243";"Saint-Julien-en-Genevois";15840;211;16051;162;67;4;30;23;140
84;"Auvergne-Rhône-Alpes";"74";2;14;256;"74256";"Sallanches";17133;467;17600;162;201;4;155;253;140
11;"Île-de-France";"75";1;NA;101;"75101";"Paris 1er Arrondissement";15919;111;16030;270;134;0;2075;460;1540
28;"Normandie";"76";3;1;57;"76057";"Barentin";12154;238;12392;162;201;12;180;92;105
28;"Normandie";"76";3;2;108;"76108";"Bois-Guillaume";14262;361;14623;270;335;4;20;115;140
28;"Normandie";"76";2;3;114;"76114";"Bolbec";11635;147;11782;108;268;4;50;23;70
28;"Normandie";"76";3;4;157;"76157";"Canteleu";13966;360;14326;270;134;8;30;0;105
28;"Normandie";"76";3;5;165;"76165";"Caudebec-lès-Elbeuf";10135;69;10204;54;67;4;10;0;35
28;"Normandie";"76";3;22;216;"76216";"Déville-lès-Rouen";10745;62;10807;54;134;4;10;23;35
28;"Normandie";"76";3;9;231;"76231";"Elbeuf";15951;138;16089;162;268;8;160;46;175
28;"Normandie";"76";2;11;259;"76259";"Fécamp";18016;269;18285;162;603;8;150;69;210
28;"Normandie";"76";3;4;410;"76410";"Maromme";11024;122;11146;108;268;8;10;0;105
28;"Normandie";"76";2;15;447;"76447";"Montivilliers";15457;203;15660;54;268;4;135;46;70
28;"Normandie";"76";2;25;476;"76476";"Port-Jérôme-sur-Seine";10387;172;10559;54;268;28;15;23;35
28;"Normandie";"76";3;31;484;"76484";"Oissel";12367;83;12450;54;67;12;0;0;105
28;"Normandie";"76";3;35;758;"76758";"Yvetot";11385;208;11593;54;335;4;185;46;140
11;"Île-de-France";"77";4;7;14;"77014";"Avon";13660;234;13894;162;134;0;10;23;140
11;"Île-de-France";"77";5;4;53;"77053";"Brie-Comte-Robert";19213;265;19478;162;67;8;60;23;140
11;"Île-de-France";"77";2;20;67;"77067";"Cesson";11140;110;11250;162;67;0;85;92;35
11;"Île-de-France";"77";1;3;118;"77118";"Claye-Souilly";12282;90;12372;108;134;4;245;207;105
11;"Île-de-France";"77";1;5;131;"77131";"Coulommiers";15250;205;15455;162;134;4;150;69;105
11;"Île-de-France";"77";1;12;153;"77153";"Dammartin-en-Goële";11272;91;11363;54;67;4;15;0;0
11;"Île-de-France";"77";4;7;186;"77186";"Fontainebleau";15945;495;16440;216;268;4;275;161;280
11;"Île-de-France";"77";2;4;251;"77251";"Lieusaint";13808;81;13889;108;67;4;375;115;105
11;"Île-de-France";"77";5;1;258;"77258";"Lognes";14650;48;14698;324;0;4;20;46;0
11;"Île-de-France";"77";2;4;296;"77296";"Moissy-Cramayel";18248;142;18390;108;0;4;15;23;70
11;"Île-de-France";"77";5;9;307;"77307";"Montévrain";13934;90;14024;216;0;4;20;115;0
11;"Île-de-France";"77";4;13;316;"77316";"Moret-Loing-et-Orvanne";12581;317;12898;216;268;16;15;46;175
11;"Île-de-France";"77";4;15;333;"77333";"Nemours";13189;149;13338;0;201;0;105;69;140
11;"Île-de-France";"77";5;1;337;"77337";"Noisiel";15461;97;15558;216;134;0;25;0;35
11;"Île-de-France";"77";3;18;379;"77379";"Provins";11958;310;12268;216;134;12;95;46;140
11;"Île-de-France";"77";2;19;407;"77407";"Saint-Fargeau-Ponthierry";14516;105;14621;216;201;4;0;0;105
11;"Île-de-France";"77";5;9;464;"77464";"Thorigny-sur-Marne";10405;105;10510;54;0;0;25;0;35
11;"Île-de-France";"77";5;23;479;"77479";"Vaires-sur-Marne";13518;118;13636;162;67;4;20;0;70
11;"Île-de-France";"77";2;11;487;"77487";"Vaux-le-Pénil";11174;152;11326;216;0;0;0;23;35
11;"Île-de-France";"78";3;5;15;"78015";"Andrésy";13230;142;13372;54;134;0;10;0;0
11;"Île-de-France";"78";1;1;29;"78029";"Aubergenville";12317;81;12398;108;67;4;220;161;70
11;"Île-de-France";"78";4;15;73;"78073";"Bois-d'Arcy";15435;147;15582;270;0;4;10;46;35
11;"Île-de-France";"78";3;13;123;"78123";"Carrières-sous-Poissy";18316;115;18431;324;134;4;20;0;0
11;"Île-de-France";"78";3;6;124;"78124";"Carrières-sur-Seine";15038;218;15256;216;67;0;15;0;0
11;"Île-de-France";"78";3;5;138;"78138";"Chanteloup-les-Vignes";10735;67;10802;162;67;4;10;0;0
11;"Île-de-France";"78";4;12;165;"78165";"Les Clayes-sous-Bois";17237;221;17458;162;0;4;325;115;140
11;"Île-de-France";"78";3;3;190;"78190";"Croissy-sur-Seine";10399;264;10663;108;67;4;10;46;70
11;"Île-de-France";"78";4;15;242;"78242";"Fontenay-le-Fleury";13455;164;13619;162;67;4;0;0;70
11;"Île-de-France";"78";1;7;335;"78335";"Limay";17626;92;17718;216;67;8;25;0;35
11;"Île-de-France";"78";3;3;372;"78372";"Marly-le-Roi";16531;479;17010;270;134;4;10;0;70
11;"Île-de-France";"78";2;9;383;"78383";"Maurepas";18611;200;18811;270;134;4;75;92;105
11;"Île-de-France";"78";3;6;418;"78418";"Montesson";14511;229;14740;216;134;8;105;69;0
11;"Île-de-France";"78";3;16;481;"78481";"Le Pecq";15832;289;16121;324;134;8;20;46;0
11;"Île-de-France";"78";3;19;624;"78624";"Triel-sur-Seine";12388;185;12573;108;67;4;5;0;70
11;"Île-de-France";"78";3;19;642;"78642";"Verneuil-sur-Seine";15914;319;16233;162;134;8;5;0;35
11;"Île-de-France";"78";3;19;643;"78643";"Vernouillet";10025;189;10214;108;134;0;25;0;35
11;"Île-de-France";"78";3;3;650;"78650";"Le Vésinet";15646;471;16117;378;134;0;80;0;70
11;"Île-de-France";"78";4;15;674;"78674";"Villepreux";11150;166;11316;162;67;0;5;23;105
11;"Île-de-France";"78";4;21;686;"78686";"Viroflay";16960;362;17322;378;134;0;5;0;105
11;"Île-de-France";"78";2;9;688;"78688";"Voisins-le-Bretonneux";10721;380;11101;108;67;0;10;115;0
75;"Nouvelle-Aquitaine";"79";1;2;49;"79049";"Bressuire";19906;931;20837;108;134;32;130;69;140
75;"Nouvelle-Aquitaine";"79";3;13;202;"79202";"Parthenay";10058;377;10435;108;134;8;90;46;70
75;"Nouvelle-Aquitaine";"79";1;16;329;"79329";"Thouars";14000;292;14292;216;201;24;60;23;35
76;"Occitanie";"81";1;11;99;"81099";"Gaillac";15663;345;16008;108;201;8;75;23;210
76;"Occitanie";"81";2;12;105;"81105";"Graulhet";13166;222;13388;108;201;8;25;115;175
76;"Occitanie";"81";2;15;140;"81140";"Lavaur";10830;384;11214;162;134;8;75;46;35
76;"Occitanie";"81";2;99;163;"81163";"Mazamet";10064;407;10471;108;335;8;100;69;210
76;"Occitanie";"82";1;3;33;"82033";"Castelsarrasin";14178;256;14434;162;67;8;65;115;105
76;"Occitanie";"82";1;5;112;"82112";"Moissac";13748;307;14055;108;134;16;20;69;105
93;"Provence-Alpes-Côte d'Azur";"83";2;12;16;"83016";"Le Beausset";10007;181;10188;54;67;4;5;115;70
93;"Provence-Alpes-Côte d'Azur";"83";3;1;23;"83023";"Brignoles";17664;329;17993;270;67;4;90;115;140
93;"Provence-Alpes-Côte d'Azur";"83";1;15;42;"83042";"Cogolin";11762;191;11953;162;67;4;135;345;210
93;"Provence-Alpes-Côte d'Azur";"83";2;2;47;"83047";"La Crau";19179;411;19590;216;67;8;40;23;35
93;"Provence-Alpes-Côte d'Azur";"83";2;18;49;"83049";"Cuers";12550;138;12688;108;134;4;5;46;0
93;"Provence-Alpes-Côte d'Azur";"83";2;2;71;"83071";"La Londe-les-Maures";11442;135;11577;162;134;8;35;69;35
93;"Provence-Alpes-Côte d'Azur";"83";3;9;73;"83073";"Le Luc";11053;109;11162;108;67;8;10;92;70
93;"Provence-Alpes-Côte d'Azur";"83";2;10;90;"83090";"Ollioules";14011;267;14278;162;268;4;100;115;70
93;"Provence-Alpes-Côte d'Azur";"83";2;6;98;"83098";"Le Pradet";10728;179;10907;54;134;12;40;23;70
93;"Provence-Alpes-Côte d'Azur";"83";1;11;107;"83107";"Roquebrune-sur-Argens";14448;224;14672;216;134;8;45;138;35
93;"Provence-Alpes-Côte d'Azur";"83";2;12;112;"83112";"Saint-Cyr-sur-Mer";12103;241;12344;54;268;12;105;92;105
93;"Provence-Alpes-Côte d'Azur";"83";1;15;115;"83115";"Sainte-Maxime";14433;182;14615;108;201;8;405;230;175
93;"Provence-Alpes-Côte d'Azur";"83";3;13;116;"83116";"Saint-Maximin-la-Sainte-Baume";17631;514;18145;216;134;4;145;115;70
93;"Provence-Alpes-Côte d'Azur";"83";2;10;123;"83123";"Sanary-sur-Mer";17268;258;17526;270;469;4;445;115;175
93;"Provence-Alpes-Côte d'Azur";"83";2;18;130;"83130";"Solliès-Pont";12080;148;12228;54;134;4;30;69;35
93;"Provence-Alpes-Côte d'Azur";"83";1;23;148;"83148";"Vidauban";12573;147;12720;54;67;8;20;46;70
93;"Provence-Alpes-Côte d'Azur";"84";1;1;3;"84003";"Apt";10536;238;10774;162;201;12;115;69;210
93;"Provence-Alpes-Côte d'Azur";"84";3;5;19;"84019";"Bollène";13605;196;13801;54;134;12;80;46;140
93;"Provence-Alpes-Côte d'Azur";"84";2;9;54;"84054";"L'Isle-sur-la-Sorgue";19965;502;20467;162;201;8;175;69;105
93;"Provence-Alpes-Côte d'Azur";"84";3;10;80;"84080";"Monteux";13129;248;13377;108;67;4;10;23;105
93;"Provence-Alpes-Côte d'Azur";"84";3;12;88;"84088";"Pernes-les-Fontaines";10636;255;10891;54;67;8;25;46;245
93;"Provence-Alpes-Côte d'Azur";"84";2;14;92;"84092";"Le Pontet";17551;136;17687;162;134;8;215;230;35
93;"Provence-Alpes-Côte d'Azur";"84";2;15;129;"84129";"Sorgues";19117;229;19346;108;201;4;135;92;70
93;"Provence-Alpes-Côte d'Azur";"84";2;14;141;"84141";"Vedène";11457;353;11810;108;67;8;20;69;0
52;"Pays de la Loire";"85";2;1;3;"85003";"Aizenay";10146;204;10350;54;67;12;20;23;0
52;"Pays de la Loire";"85";1;5;92;"85092";"Fontenay-le-Comte";13471;652;14123;54;268;4;115;138;105
52;"Pays de la Loire";"85";2;6;109;"85109";"Les Herbiers";16453;542;16995;54;268;12;115;138;140
52;"Pays de la Loire";"85";3;15;226;"85226";"Saint-Hilaire-de-Riez";12682;255;12937;54;67;4;45;92;35
75;"Nouvelle-Aquitaine";"86";3;14;41;"86041";"Buxerolles";10105;130;10235;54;67;0;0;0;35
75;"Nouvelle-Aquitaine";"87";2;17;114;"87114";"Panazol";11064;200;11264;108;67;8;10;23;70
75;"Nouvelle-Aquitaine";"87";3;19;154;"87154";"Saint-Junien";11387;304;11691;108;67;0;80;46;140
44;"Grand Est";"88";3;99;413;"88413";"Saint-Dié-des-Vosges";19319;454;19773;270;402;12;210;69;245
11;"Île-de-France";"91";3;1;21;"91021";"Arpajon";11281;101;11382;162;134;4;90;0;35
11;"Île-de-France";"91";2;15;86;"91086";"Bondoufle";10862;107;10969;108;67;4;0;0;35
11;"Île-de-France";"91";3;12;161;"91161";"Chilly-Mazarin";19938;115;20053;270;67;4;20;23;35
11;"Île-de-France";"91";1;5;200;"91200";"Dourdan";11279;192;11471;108;201;16;25;23;35
11;"Île-de-France";"91";2;7;215;"91215";"Épinay-sous-Sénart";11869;80;11949;108;67;4;0;0;0
11;"Île-de-France";"91";3;11;216;"91216";"Épinay-sur-Orge";10760;110;10870;162;335;4;15;0;70
11;"Île-de-France";"91";2;15;235;"91235";"Fleury-Mérogis";13983;14;13997;270;67;8;25;23;0
11;"Île-de-France";"91";3;14;312;"91312";"Igny";10213;305;10518;54;67;4;5;0;35
11;"Île-de-France";"91";3;2;326;"91326";"Juvisy-sur-Orge";18424;109;18533;324;67;12;80;23;245
11;"Île-de-France";"91";2;13;386;"91386";"Mennecy";15711;251;15962;108;134;8;20;0;105
11;"Île-de-France";"91";3;17;432;"91432";"Morangis";13211;78;13289;216;134;0;20;23;0
11;"Île-de-France";"91";3;14;471;"91471";"Orsay";16007;345;16352;270;134;4;45;0;105
11;"Île-de-France";"91";3;1;552;"91552";"Saint-Germain-lès-Arpajon";11305;84;11389;54;67;4;0;46;0
11;"Île-de-France";"91";2;7;573;"91573";"Saint-Pierre-du-Perray";11680;112;11792;108;67;8;10;23;105
