"REG";"Région";"DEP";"CODARR";"CODCAN";"CODCOM";"COM";"Commune";"PMUN";"PCAP";"PTOT";"Physiologique";"Sécurité";"Appartenance";"Estime";"Actualisation.de.soi";"Cognitif"
93;"Provence-Alpes-Côte d'Azur";"13";4;24;77;"13077";"Port-de-Bouc";16136;140;16276;216;67;4;50;69;140
93;"Provence-Alpes-Côte d'Azur";"13";4;6;81;"13081";"Rognac";12175;112;12287;54;67;12;15;23;70
93;"Provence-Alpes-Côte d'Azur";"13";2;27;97;"13097";"Saint-Martin-de-Crau";13729;298;14027;162;67;4;25;69;70
93;"Provence-Alpes-Côte d'Azur";"13";3;9;106;"13106";"Septèmes-les-Vallons";11734;78;11812;108;67;8;5;0;105
93;"Provence-Alpes-Côte d'Azur";"13";2;7;108;"13108";"Tarascon";15423;139;15562;108;134;4;35;23;105
93;"Provence-Alpes-Côte d'Azur";"13";1;28;110;"13110";"Trets";10678;187;10865;108;201;4;25;0;70
93;"Provence-Alpes-Côte d'Azur";"13";3;14;216;"13216";"Marseille 16e Arrondissement";15487;90;15577;324;134;28;115;230;105
28;"Normandie";"14";1;2;47;"14047";"Bayeux";12775;333;13108;54;268;4;230;46;140
28;"Normandie";"14";2;16;341;"14341";"Ifs";11981;236;12217;54;134;12;10;46;70
28;"Normandie";"14";3;17;366;"14366";"Lisieux";19807;586;20393;162;335;8;270;184;385
28;"Normandie";"14";2;16;437;"14437";"Mondeville";10075;226;10301;108;134;8;300;161;70
28;"Normandie";"14";4;25;762;"14762";"Vire Normandie";17135;801;17936;108;469;20;150;46;210
75;"Nouvelle-Aquitaine";"16";2;99;102;"16102";"Cognac";18448;403;18851;216;335;8;195;23;175
75;"Nouvelle-Aquitaine";"17";2;17;306;"17306";"Royan";19029;539;19568;108;268;12;540;299;385
75;"Nouvelle-Aquitaine";"19";2;16;272;"19272";"Tulle";13992;661;14653;162;201;16;180;115;455
27;"Bourgogne-Franche-Comté";"21";2;6;166;"21166";"Chenôve";14445;167;14612;108;67;4;65;138;105
27;"Bourgogne-Franche-Comté";"21";2;7;171;"21171";"Chevigny-Saint-Sauveur";10944;214;11158;54;67;4;0;0;35
27;"Bourgogne-Franche-Comté";"21";2;23;617;"21617";"Talant";11894;213;12107;162;201;4;5;23;70
53;"Bretagne";"22";1;4;50;"22050";"Dinan";14675;556;15231;108;402;4;265;69;385
53;"Bretagne";"22";4;89;93;"22093";"Lamballe-Armor";16845;482;17327;108;201;40;125;138;175
53;"Bretagne";"22";4;18;187;"22187";"Plérin";14704;485;15189;216;67;36;50;92;105
53;"Bretagne";"22";4;21;215;"22215";"Ploufragan";11369;332;11701;108;67;12;20;0;35
75;"Nouvelle-Aquitaine";"23";2;99;96;"23096";"Guéret";12840;613;13453;108;67;16;135;161;280
75;"Nouvelle-Aquitaine";"24";3;7;53;"24053";"Boulazac Isle Manoire";10697;347;11044;108;67;8;105;161;105
